i;cluster_count;records;som_learning_rate;som_iterations; ;SOM;time;clusters;min;max;mean;std;;K-MEANS;time;clusters;min;max;mean;std
1;5;1000;0.5;100; ; ;7.152689218521118;[0, 287, 414, 299, 0];0;414;200.0;169.213474641; ; ;0.018544435501098633;[0, 6, 262, 732, 0];0;732;200.0;284.430659388
2;5;1000;0.5;100; ; ;7.243913888931274;[0, 258, 444, 298, 0];0;444;200.0;174.644782344; ; ;0.024057388305664062;[456, 0, 544, 0, 0];0;544;200.0;246.524643799
0;5;1000;0.5;200; ; ;6.738192558288574;[0, 348, 305, 344, 3];0;348;200.0;162.772233504; ; ;0.03909444808959961;[751, 0, 178, 71, 0];0;751;200.0;283.099275873
1;5;1000;0.5;200; ; ;6.139756202697754;[0, 350, 360, 288, 2];0;360;200.0;164.345976525; ; ;0.033078670501708984;[0, 0, 0, 435, 565];0;565;200.0;248.37471691
2;5;1000;0.5;200; ; ;6.134239912033081;[0, 301, 404, 295, 0];0;404;200.0;167.834442234; ; ;0.03307986259460449;[107, 233, 231, 0, 429];0;429;200.0;143.624510443
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
-----------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
i;cluster_count;records;som_learning_rate;som_iterations; ;SOM;time;clusters;min;max;mean;std;K-MEANS; ;time;clusters;min;max;mean;std
0;3;1000;0.5;100; ; ;0.14183926582336426;[392, 543, 65];65;543;333.3333333333333;199.503272042; ; ;0.009021282196044922;[0, 607, 393];0;607;333.3333333333333;251.372675966
1;3;1000;0.5;100; ; ;0.16990971565246582;[392, 543, 65];65;543;333.3333333333333;199.503272042; ; ;0.009039640426635742;[672, 328, 0];0;672;333.3333333333333;274.368770494
2;3;1000;0.5;100; ; ;0.14033818244934082;[392, 543, 65];65;543;333.3333333333333;199.503272042; ; ;0.009505987167358398;[0, 609, 391];0;609;333.3333333333333;251.944879333
0;5;1000;0.5;100; ; ;0.28017425537109375;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.020546674728393555;[0, 993, 2, 0, 5];0;993;200.0;396.504224442
1;5;1000;0.5;100; ; ;0.32929205894470215;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.02405834197998047;[397, 205, 0, 73, 325];0;397;200.0;148.719870898
2;5;1000;0.5;100; ; ;0.2917008399963379;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.013031244277954102;[189, 409, 0, 343, 59];0;409;200.0;157.563955269
0;10;1000;0.5;100; ; ;0.6726028919219971;[135, 0, 2, 162, 308, 325, 13, 14, 31, 10];0;325;100.0;120.990908749; ; ;0.023054838180541992;[124, 0, 833, 0, 43, 0, 0, 0, 0, 0];0;833;100.0;247.207200542
1;10;1000;0.5;100; ; ;0.6691076755523682;[135, 0, 2, 162, 308, 325, 13, 14, 31, 10];0;325;100.0;120.990908749; ; ;0.030073165893554688;[0, 0, 0, 598, 77, 70, 5, 250, 0, 0];0;598;100.0;181.922510977
2;10;1000;0.5;100; ; ;0.6575808525085449;[128, 14, 58, 346, 164, 222, 24, 32, 8, 4];4;346;100.0;108.406641863; ; ;0.03658795356750488;[154, 0, 846, 0, 0, 0, 0, 0, 0, 0];0;846;100.0;252.869927038
